Przestêpstwa bójka i pobicie wg jednostek podzia³u administracyjnego kraju - przestêpstwa stwierdzone, przestêpstwa wykryte, % wykrycia.;;;;;;;;;;;
;;;;;;;;;;;
Jednostka podzia³u administracyjnego;Rok;Przestêpstwa stwierdzone;Przestêpstwa wykryte;% wykrycia;;;;;;;
Polska;2021;2 450;2 075;84,2;;;;;;;
Polska;2020;2 801;2 299;81,8;;;;;;;
Polska;2019;3 533;2 856;80,6;;;;;;;
Polska;2018;3 845;3 062;79,5;;;;;;;
Polska;2017;4 385;3 510;79,8;;;;;;;
Polska;2016;4 776;3 726;77,8;;;;;;;
Polska;2015;4 708;3 569;75,5;;;;;;;
Polska;2014;5 797;4 401;75,6;;;;;;;
Polska;2013;8 783;7 048;79,9;;;;;;;
Polska;2012;11 416;9 338;81,5;;;;;;;
Polska;2011;12 008;9 948;82,7;;;;;;;
Polska;2010;11 883;9 621;80,7;;;;;;;
Polska;2009;13 141;10 497;79,6;;;;;;;
Polska;2008;14 380;11 316;78,4;;;;;;;
Polska;2007;14 327;11 302;78,7;;;;;;;
Polska;2006;14 266;11 158;78,1;;;;;;;
Polska;2005;13 911;10 806;77,4;;;;;;;
Polska;2004;14 338;10 890;75,8;;;;;;;
Polska;2003;14 010;10 730;76,4;;;;;;;
Polska;2002;14 194;10 975;77,2;;;;;;;
Polska;2001;14 369;11 174;77,6;;;;;;;
Polska;2000;14 363;11 137;77,4;;;;;;;
Polska;1999;12 756;9 755;76,3;;;;;;;
woj. dolnoœl¹skie;2021;219;180;81,4;;;;;;;
woj. dolnoœl¹skie;2020;243;193;79,4;;;;;;;
woj. dolnoœl¹skie;2019;294;220;74,6;;;;;;;
woj. dolnoœl¹skie;2018;273;201;73,6;;;;;;;
woj. dolnoœl¹skie;2017;358;264;73,7;;;;;;;
woj. dolnoœl¹skie;2016;367;264;71,4;;;;;;;
woj. dolnoœl¹skie;2015;394;304;77,0;;;;;;;
woj. dolnoœl¹skie;2014;463;340;73,1;;;;;;;
woj. dolnoœl¹skie;2013;710;570;79,9;;;;;;;
woj. dolnoœl¹skie;2012;896;716;79,9;;;;;;;
woj. dolnoœl¹skie;2011;967;801;82,6;;;;;;;
woj. dolnoœl¹skie;2010;1 019;827;80,9;;;;;;;
woj. dolnoœl¹skie;2009;1 107;877;78,9;;;;;;;
woj. dolnoœl¹skie;2008;1 222;996;81,3;;;;;;;
woj. dolnoœl¹skie;2007;1 142;890;77,9;;;;;;;
woj. dolnoœl¹skie;2006;1 131;918;81,2;;;;;;;
woj. dolnoœl¹skie;2005;1 131;897;79,1;;;;;;;
woj. dolnoœl¹skie;2004;1 255;1 008;80,3;;;;;;;
woj. dolnoœl¹skie;2003;1 230;979;79,5;;;;;;;
woj. dolnoœl¹skie;2002;1 267;1 001;78,8;;;;;;;
woj. dolnoœl¹skie;2001;1 244;995;79,9;;;;;;;
woj. dolnoœl¹skie;2000;1 307;1 039;79,4;;;;;;;
woj. dolnoœl¹skie;1999;1 208;937;77,6;;;;;;;
woj. kujawsko-pomorskie;2021;103;95;90,5;;;;;;;
woj. kujawsko-pomorskie;2020;107;90;84,1;;;;;;;
woj. kujawsko-pomorskie;2019;167;146;87,4;;;;;;;
woj. kujawsko-pomorskie;2018;158;135;84,9;;;;;;;
woj. kujawsko-pomorskie;2017;229;192;83,5;;;;;;;
woj. kujawsko-pomorskie;2016;251;207;82,1;;;;;;;
woj. kujawsko-pomorskie;2015;180;141;77,5;;;;;;;
woj. kujawsko-pomorskie;2014;242;199;82,2;;;;;;;
woj. kujawsko-pomorskie;2013;388;322;82,8;;;;;;;
woj. kujawsko-pomorskie;2012;470;389;82,8;;;;;;;
woj. kujawsko-pomorskie;2011;480;403;83,6;;;;;;;
woj. kujawsko-pomorskie;2010;555;454;81,7;;;;;;;
woj. kujawsko-pomorskie;2009;636;521;81,7;;;;;;;
woj. kujawsko-pomorskie;2008;705;538;76,2;;;;;;;
woj. kujawsko-pomorskie;2007;723;572;79,1;;;;;;;
woj. kujawsko-pomorskie;2006;658;497;75,5;;;;;;;
woj. kujawsko-pomorskie;2005;675;521;77,2;;;;;;;
woj. kujawsko-pomorskie;2004;708;555;78,3;;;;;;;
woj. kujawsko-pomorskie;2003;713;548;76,6;;;;;;;
woj. kujawsko-pomorskie;2002;711;542;76,0;;;;;;;
woj. kujawsko-pomorskie;2001;681;532;78,0;;;;;;;
woj. kujawsko-pomorskie;2000;698;542;77,5;;;;;;;
woj. kujawsko-pomorskie;1999;589;460;78,1;;;;;;;
woj. lubelskie;2021;149;144;96,0;;;;;;;
woj. lubelskie;2020;191;176;92,1;;;;;;;
woj. lubelskie;2019;223;205;91,9;;;;;;;
woj. lubelskie;2018;287;243;84,4;;;;;;;
woj. lubelskie;2017;305;259;84,6;;;;;;;
woj. lubelskie;2016;323;274;84,3;;;;;;;
woj. lubelskie;2015;332;277;82,7;;;;;;;
woj. lubelskie;2014;404;346;85,2;;;;;;;
woj. lubelskie;2013;478;396;82,2;;;;;;;
woj. lubelskie;2012;624;532;84,8;;;;;;;
woj. lubelskie;2011;719;614;85,4;;;;;;;
woj. lubelskie;2010;696;595;85,4;;;;;;;
woj. lubelskie;2009;776;659;84,6;;;;;;;
woj. lubelskie;2008;843;661;78,3;;;;;;;
woj. lubelskie;2007;858;710;82,1;;;;;;;
woj. lubelskie;2006;905;739;81,5;;;;;;;
woj. lubelskie;2005;922;767;83,1;;;;;;;
woj. lubelskie;2004;936;769;81,8;;;;;;;
woj. lubelskie;2003;1 000;842;83,8;;;;;;;
woj. lubelskie;2002;955;777;81,3;;;;;;;
woj. lubelskie;2001;1 038;890;85,3;;;;;;;
woj. lubelskie;2000;1 066;893;83,5;;;;;;;
woj. lubelskie;1999;979;789;80,3;;;;;;;
woj. lubuskie;2021;102;87;83,7;;;;;;;
woj. lubuskie;2020;99;69;69,7;;;;;;;
woj. lubuskie;2019;115;87;75,7;;;;;;;
woj. lubuskie;2018;158;122;77,2;;;;;;;
woj. lubuskie;2017;144;113;78,5;;;;;;;
woj. lubuskie;2016;192;151;78,6;;;;;;;
woj. lubuskie;2015;149;114;75,5;;;;;;;
woj. lubuskie;2014;183;129;70,5;;;;;;;
woj. lubuskie;2013;262;196;74,5;;;;;;;
woj. lubuskie;2012;394;324;82,0;;;;;;;
woj. lubuskie;2011;443;375;84,7;;;;;;;
woj. lubuskie;2010;448;372;82,9;;;;;;;
woj. lubuskie;2009;443;377;84,7;;;;;;;
woj. lubuskie;2008;458;391;85,0;;;;;;;
woj. lubuskie;2007;488;398;81,2;;;;;;;
woj. lubuskie;2006;461;377;81,8;;;;;;;
woj. lubuskie;2005;497;419;84,0;;;;;;;
woj. lubuskie;2004;488;405;82,8;;;;;;;
woj. lubuskie;2003;480;405;84,0;;;;;;;
woj. lubuskie;2002;446;384;85,9;;;;;;;
woj. lubuskie;2001;511;429;84,0;;;;;;;
woj. lubuskie;2000;470;384;81,7;;;;;;;
woj. lubuskie;1999;446;382;85,7;;;;;;;
woj. ³ódzkie;2021;199;161;80,9;;;;;;;
woj. ³ódzkie;2020;175;139;78,5;;;;;;;
woj. ³ódzkie;2019;257;192;74,7;;;;;;;
woj. ³ódzkie;2018;256;174;67,7;;;;;;;
woj. ³ódzkie;2017;307;232;75,3;;;;;;;
woj. ³ódzkie;2016;314;213;67,8;;;;;;;
woj. ³ódzkie;2015;380;278;72,8;;;;;;;
woj. ³ódzkie;2014;409;290;70,4;;;;;;;
woj. ³ódzkie;2013;626;455;72,3;;;;;;;
woj. ³ódzkie;2012;726;509;70,0;;;;;;;
woj. ³ódzkie;2011;733;544;73,7;;;;;;;
woj. ³ódzkie;2010;747;549;73,0;;;;;;;
woj. ³ódzkie;2009;841;638;75,5;;;;;;;
woj. ³ódzkie;2008;914;662;72,3;;;;;;;
woj. ³ódzkie;2007;1 015;734;72,3;;;;;;;
woj. ³ódzkie;2006;1 051;750;71,2;;;;;;;
woj. ³ódzkie;2005;934;647;69,1;;;;;;;
woj. ³ódzkie;2004;992;685;69,1;;;;;;;
woj. ³ódzkie;2003;877;661;75,3;;;;;;;
woj. ³ódzkie;2002;862;595;68,9;;;;;;;
woj. ³ódzkie;2001;906;662;73,0;;;;;;;
woj. ³ódzkie;2000;871;600;68,6;;;;;;;
woj. ³ódzkie;1999;701;510;72,8;;;;;;;
woj. ma³opolskie;2021;167;128;76,2;;;;;;;
woj. ma³opolskie;2020;235;185;77,7;;;;;;;
woj. ma³opolskie;2019;230;172;74,8;;;;;;;
woj. ma³opolskie;2018;322;254;78,6;;;;;;;
woj. ma³opolskie;2017;327;250;76,5;;;;;;;
woj. ma³opolskie;2016;325;231;70,9;;;;;;;
woj. ma³opolskie;2015;366;245;66,9;;;;;;;
woj. ma³opolskie;2014;538;345;63,9;;;;;;;
woj. ma³opolskie;2013;617;423;68,1;;;;;;;
woj. ma³opolskie;2012;677;490;72,2;;;;;;;
woj. ma³opolskie;2011;826;639;77,4;;;;;;;
woj. ma³opolskie;2010;878;677;77,0;;;;;;;
woj. ma³opolskie;2009;938;707;75,1;;;;;;;
woj. ma³opolskie;2008;1 022;760;74,1;;;;;;;
woj. ma³opolskie;2007;1 107;793;71,4;;;;;;;
woj. ma³opolskie;2006;983;704;71,6;;;;;;;
