Statystyka ogólna w podziale na województwa;;;;
;;;;
;2020;;;
Województwo;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
WOJ. DOLNOŒL¥SKIE;1578;165;1794;35761
WOJ. KUJAWSKO-POMORSKIE;827;134;859;24028
WOJ. LUBELSKIE;931;156;947;16913
WOJ. LUBUSKIE;607;76;677;10219
WOJ. £ÓDZKIE;2436;221;2763;26296
WOJ. MA£OPOLSKIE;2265;157;2563;27757
WOJ. MAZOWIECKIE;2960;420;3295;58903
WOJ. OPOLSKIE;488;65;538;8916
WOJ. PODKARPACKIE;1167;132;1240;16079
WOJ. PODLASKIE;430;78;451;11316
WOJ. POMORSKIE;1848;169;2236;23978
WOJ. ŒL¥SKIE;2383;189;2715;47444
WOJ. ŒWIÊTOKRZYSKIE;831;96;953;11628
WOJ. WARMIÑSKO-MAZURSKIE;1040;115;1186;13762
WOJ. WIELKOPOLSKIE;2822;217;3234;30817
WOJ. ZACHODNIOPOMORSKIE;927;101;1012;18229
Podusmowanie;23540;2491;26463;382046
